seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
648,-3146,-3142,-2940
649,-2920,-2920,-3294
650,-3088,-3082,-2738
651,-2774,-2534,-3294
652,-3294,-2688,-3294
653,-3062,-3062,-3294
654,-2574,-2920,-3286
655,-3012,-3012,-3184
656,-3104,-3104,-3286
657,-3134,-3134,-3184
658,-2874,-2886,-3184
659,-2896,-2896,-3294
660,-3064,-3064,-2940
661,-2996,-2996,-2452
662,-3184,-3184,-3294
663,-2788,-2744,-2940
664,-2908,-2908,-3032
665,-3104,-3104,-3184
666,-2870,-2838,-3286
667,-2974,-2952,-2940
668,-2722,-3038,-2940
669,-2690,-2720,-3294
670,-2874,-2872,-2452
671,-2842,-2842,-2452
672,-3096,-3020,-3294
673,-3078,-3184,-3286
674,-3070,-3070,-2940
675,-3080,-2892,-3286
676,-2344,-2468,-3286
677,-3146,-3146,-3184
678,-2964,-2964,-3026
679,-2818,-3286,-2896
680,-3062,-3062,-2940
681,-2948,-2948,-3286
682,-2804,-2804,-3286
683,-2964,-2964,-3294
684,-2882,-2884,-2940
685,-3108,-3024,-2940
686,-3062,-3114,-2940
687,-2680,-2680,-3286
688,-2596,-2596,-3046
689,-3202,-3202,-2940
690,-2680,-3116,-2940
691,-2512,-2548,-2452
692,-2652,-2652,-3286
693,-3294,-3294,-3294
694,-2848,-2848,-3294
695,-3126,-3126,-3032
696,-3146,-3092,-2940
697,-3294,-3294,-2940
698,-3132,-3294,-3000
699,-2960,-2920,-2940
700,-3084,-3092,-3294
701,-2578,-2578,-3286
702,-3180,-3180,-2452
703,-2996,-2996,-3286
704,-2734,-2682,-3032
705,-2736,-2736,-3286
706,-2624,-2624,-2940
707,-2966,-2966,-2618
708,-3022,-3022,-3294
709,-3286,-2750,-2940
710,-2940,-2940,-3286
711,-2840,-2840,-2940
712,-2942,-2958,-3294
713,-3100,-3006,-3184
714,-2612,-2634,-2880
715,-2510,-2510,-3184
716,-2956,-2958,-2940
717,-3084,-3012,-3000
718,-2548,-2548,-2452
719,-2980,-2980,-3184
720,-2930,-2930,-2738
721,-3184,-3184,-2940
722,-3062,-3062,-3294
723,-2628,-2872,-3286
724,-2894,-2894,-3184
725,-2664,-2896,-2940
726,-2940,-2940,-3286
727,-3184,-3184,-2452
728,-2960,-2960,-3008
729,-2548,-3018,-2452
730,-3084,-3082,-2940
731,-2952,-3184,-2940
732,-3064,-2646,-2738
733,-2988,-2988,-3046
734,-2994,-2994,-2940
735,-2604,-2846,-3052
736,-2792,-2792,-2452
737,-2682,-3070,-2738
738,-2632,-2632,-3286
739,-3042,-3046,-2452
740,-2930,-2930,-3032
741,-2764,-2764,-3184
742,-3292,-3292,-3294
743,-2738,-2738,-3064
744,-2864,-2864,-3286
745,-3100,-3100,-2940
746,-2694,-2694,-2452
747,-3134,-3092,-2940
748,-2254,-2254,-3286
749,-3292,-3292,-3294
750,-2926,-2926,-3184
751,-2900,-2900,-3286
752,-3026,-2762,-3032
753,-3072,-3072,-3294
754,-2974,-2974,-2940
755,-3102,-3074,-2940
756,-3102,-2986,-2940
757,-3184,-3184,-2940
758,-2898,-2928,-2896
759,-3016,-3096,-3184
760,-3026,-3026,-2940
761,-2966,-2966,-2452
762,-3062,-3062,-3286
763,-2952,-2952,-3294
764,-3032,-3024,-3294
765,-2818,-3100,-3286
766,-3032,-2836,-3286
767,-2584,-2584,-2716
768,-2794,-2794,-2940
769,-2974,-2974,-3286
770,-2888,-2710,-3294
771,-3090,-3090,-3294
772,-3050,-3050,-2940
773,-2928,-2928,-2452
774,-2730,-2874,-2996
775,-2938,-2938,-2996
776,-3104,-2938,-2452
777,-3072,-3072,-2940
778,-2800,-2784,-3032
779,-3142,-3142,-3184
780,-3090,-3090,-3294
781,-3082,-3076,-2940
782,-3146,-3146,-2940
783,-3016,-3286,-3184
784,-2910,-2910,-3184
785,-3294,-3292,-2452
786,-2854,-3108,-3184
787,-3146,-3146,-2940
788,-2820,-2820,-2940
789,-2816,-2816,-3294
790,-3058,-3058,-2940
791,-2860,-2860,-2452
792,-2922,-2922,-2940
793,-2692,-2786,-3286
794,-3184,-3006,-2452
795,-3084,-3084,-3058
796,-2514,-2472,-2452
797,-3084,-3084,-2940
798,-2750,-2750,-3184
799,-3010,-3010,-2940
800,-2948,-2948,-3184
801,-3076,-3068,-2940
802,-2920,-2920,-3286
803,-2554,-2554,-3286
804,-3118,-3118,-2940
805,-2852,-2820,-2452
806,-3180,-3086,-3294
807,-2698,-3104,-3032
808,-3146,-3146,-2940
809,-2798,-2798,-3294
810,-2768,-2768,-3286
811,-2670,-2670,-2996
812,-2834,-2834,-3286
813,-3024,-3024,-3286
814,-3102,-3180,-3294
815,-2908,-3048,-3032
816,-2644,-2706,-2940
817,-3294,-3294,-3022
818,-2612,-2612,-3294
819,-2820,-2820,-3032
820,-3046,-3046,-3000
821,-2796,-2796,-2940
822,-3294,-3294,-3184
823,-2974,-2974,-3294
824,-2750,-2750,-2996
825,-2812,-2812,-3076
826,-2980,-2832,-3286
827,-2920,-2948,-3184
828,-2990,-2808,-2940
829,-3090,-2492,-3286
830,-3102,-3102,-2940
831,-2456,-2456,-2940
832,-2698,-2698,-2940
833,-3102,-3102,-3294
834,-2758,-3142,-2940
835,-3108,-3108,-2880
836,-2748,-2984,-2940
837,-2788,-2788,-2452
838,-2840,-3090,-2940
839,-2864,-2864,-2940
840,-3106,-3106,-3294
841,-3100,-3100,-2576
842,-3086,-3086,-3076
843,-2666,-3294,-3294
844,-2732,-2756,-3026
845,-3062,-3062,-2940
846,-2986,-2986,-3294
847,-2714,-2712,-3032
848,-3126,-3126,-3100
849,-2794,-2794,-2880
850,-2918,-2918,-3286
851,-2904,-2962,-2940
852,-3032,-3064,-3286
853,-2886,-2820,-2452
854,-2846,-2978,-3076
855,-3022,-3000,-2940
856,-3070,-3070,-2940
857,-2798,-2798,-3184
858,-3012,-3104,-2940
859,-2824,-2824,-2940
860,-2936,-3050,-3032
861,-3006,-3006,-3286
862,-2940,-3070,-3294
863,-3102,-3102,-2940
864,-2922,-3180,-2940
865,-2598,-3126,-3294
866,-2704,-3114,-2940
867,-3068,-3102,-2940
868,-2550,-3032,-3286
869,-2790,-2790,-2940
